_id	_cws.church.foc10.nav.weight.nobound	_cws.church.foc10.nav.selection.nobound	_cws.church.foc10.nav.noweight.nobound	_cws.church.foc10.all.weight.nobound	_cws.church.foc10.all.selection.nobound	_cws.church.foc10.all.noweight.nobound	_cws.church.foc5.nav.weight.nobound	_cws.church.foc5.nav.selection.nobound	_cws.church.foc5.nav.noweight.nobound	_cws.church.foc5.all.weight.nobound	_cws.church.foc5.all.selection.nobound	_cws.church.foc5.all.noweight.nobound	_cws.church.foc10.nav.weight.bound	_cws.church.foc10.nav.selection.bound	_cws.church.foc10.nav.noweight.bound	_cws.church.foc10.all.weight.bound	_cws.church.foc10.all.selection.bound	_cws.church.foc10.all.noweight.bound	_cws.church.foc5.nav.weight.bound	_cws.church.foc5.nav.selection.bound	_cws.church.foc5.nav.noweight.bound	_cws.church.foc5.all.weight.bound	_cws.church.foc5.all.selection.bound	_cws.church.foc5.all.noweight.bound	_idxs.church.foc10.nav.weight.nobound	_idxs.church.foc10.nav.selection.nobound	_idxs.church.foc10.nav.noweight.nobound	_idxs.church.foc10.all.weight.nobound	_idxs.church.foc10.all.selection.nobound	_idxs.church.foc10.all.noweight.nobound	_idxs.church.foc5.nav.weight.nobound	_idxs.church.foc5.nav.selection.nobound	_idxs.church.foc5.nav.noweight.nobound	_idxs.church.foc5.all.weight.nobound	_idxs.church.foc5.all.selection.nobound	_idxs.church.foc5.all.noweight.nobound	_idxs.church.foc10.nav.weight.bound	_idxs.church.foc10.nav.selection.bound	_idxs.church.foc10.nav.noweight.bound	_idxs.church.foc10.all.weight.bound	_idxs.church.foc10.all.selection.bound	_idxs.church.foc10.all.noweight.bound	_idxs.church.foc5.nav.weight.bound	_idxs.church.foc5.nav.selection.bound	_idxs.church.foc5.nav.noweight.bound	_idxs.church.foc5.all.weight.bound	_idxs.church.foc5.all.selection.bound	_idxs.church.foc5.all.noweight.bound
church/n/wlp_gb_b01/10997896	disagreement/n;split/n;stable/n	disagreement/n;split/n;stable/n	be/v;change/v;disagreement/n;live/v;split/n;stable/n;supposed/j;tension/n	and/c;disagreement/n;split/n;stable/n	and/c;disagreement/n;split/n;stable/n	and/c;be/v;but/c;change/v;disagreement/n;forever/r;live/v;split/n;stable/n;supposed/j;tension/n;with/i	disagreement/n;split/n	disagreement/n;split/n	disagreement/n;split/n;supposed/j;tension/n	disagreement/n;split/n	disagreement/n;split/n	disagreement/n;split/n;supposed/j;tension/n	disagreement/n;split/n;stable/n	disagreement/n;split/n;stable/n	be/v;change/v;disagreement/n;live/v;split/n;stable/n;supposed/j;tension/n	and/c;disagreement/n;split/n;stable/n	and/c;disagreement/n;split/n;stable/n	and/c;be/v;but/c;change/v;disagreement/n;forever/r;live/v;split/n;stable/n;supposed/j;tension/n;with/i	disagreement/n;split/n	disagreement/n;split/n	disagreement/n;split/n;supposed/j;tension/n	disagreement/n;split/n	disagreement/n;split/n	disagreement/n;split/n;supposed/j;tension/n	L4,L2,R10	L4,L2,R10	L10,L8,L6,L4,L2,R0,R2,R4,R10	L4,L3,L2,R8,R10	L4,L3,L2,R8,R10	L10,L8,L7,L6,L4,L3,L2,R0,R2,R4,R8,R10	L4,L2	L4,L2	L6,L4,L2,R2	L4,L2	L4,L2	L6,L4,L2,R2	L4,L2,R10	L4,L2,R10	L10,L8,L6,L4,L2,R0,R2,R4,R10	L4,L3,L2,R8,R10	L4,L3,L2,R8,R10	L10,L8,L7,L6,L4,L3,L2,R0,R2,R4,R8,R10	L4,L2	L4,L2	L6,L4,L2,R2	L4,L2	L4,L2	L6,L4,L2,R2
church/n/wlp_gb_b01/17222803	beautiful/j;empty/v;farmhouse/n;history/n;local/j;museum/n	beautiful/j;empty/v;farmhouse/n;history/n;local/j;museum/n	beautiful/j;empty/v;farmhouse/n;history/n;local/j;museum/n;pay/v;price/n;shut/v	and/c;beautiful/j;empty/v;farmhouse/n;history/n;local/j;museum/n;of/i	and/c;beautiful/j;empty/v;farmhouse/n;history/n;local/j;museum/n;of/i	and/c;beautiful/j;empty/v;farmhouse/n;history/n;it/p;local/j;museum/n;of/i;pay/v;price/n;shut/v;you/p	beautiful/j;empty/v;farmhouse/n;museum/n	beautiful/j;empty/v;farmhouse/n;museum/n	beautiful/j;empty/v;farmhouse/n;museum/n;shut/v	and/c;beautiful/j;empty/v;farmhouse/n;museum/n	and/c;beautiful/j;empty/v;farmhouse/n;museum/n	and/c;beautiful/j;empty/v;farmhouse/n;museum/n;shut/v;you/p	beautiful/j;empty/v;farmhouse/n;history/n;local/j;museum/n	beautiful/j;empty/v;farmhouse/n;history/n;local/j;museum/n	beautiful/j;empty/v;farmhouse/n;history/n;local/j;museum/n;shut/v	and/c;beautiful/j;empty/v;farmhouse/n;history/n;local/j;museum/n;of/i	and/c;beautiful/j;empty/v;farmhouse/n;history/n;local/j;museum/n;of/i	and/c;beautiful/j;empty/v;farmhouse/n;history/n;it/p;local/j;museum/n;of/i;shut/v;you/p	beautiful/j;empty/v;farmhouse/n;museum/n	beautiful/j;empty/v;farmhouse/n;museum/n	beautiful/j;empty/v;farmhouse/n;museum/n;shut/v	and/c;beautiful/j;empty/v;farmhouse/n;museum/n	and/c;beautiful/j;empty/v;farmhouse/n;museum/n	and/c;beautiful/j;empty/v;farmhouse/n;museum/n;shut/v;you/p	L5,L0,R0,R1,R5,R9,R10	L5,L0,R0,R1,R5,R9,R10	L9,L5,L2,L0,R0,R1,R5,R9,R10	L6,L5,L0,R0,R1,R3,R5,R7,R9,R10	L6,L5,L0,R0,R1,R3,R5,R7,R9,R10	L9,L6,L5,L3,L2,L0,R0,R1,R3,R4,R5,R6,R7,R9,R10	L5,L0,R0,R1,R5	L5,L0,R0,R1,R5	L5,L2,L0,R0,R1,R5	L6,L5,L0,R0,R1,R3,R5	L6,L5,L0,R0,R1,R3,R5	L6,L5,L3,L2,L0,R0,R1,R3,R4,R5	L5,L0,R0,R1,R5,R9,R10	L5,L0,R0,R1,R5,R9,R10	L5,L2,L0,R0,R1,R5,R9,R10	L6,L5,L0,R0,R1,R3,R5,R7,R9,R10	L6,L5,L0,R0,R1,R3,R5,R7,R9,R10	L6,L5,L3,L2,L0,R0,R1,R3,R4,R5,R6,R7,R9,R10	L5,L0,R0,R1,R5	L5,L0,R0,R1,R5	L5,L2,L0,R0,R1,R5	L6,L5,L0,R0,R1,R3,R5	L6,L5,L0,R0,R1,R3,R5	L6,L5,L3,L2,L0,R0,R1,R3,R4,R5
church/n/wlp_gb_b01/18269536	associate/v;bride/n;christ/n;church/n;symbolism/n	associate/v;bride/n;christ/n;church/n;symbolism/n	associate/v;be/v;bride/n;can/v;christ/n;church/n;symbolism/n	and/c;associate/v;bride/n;christ/n;church/n;eg/r;of/i;symbolism/n	and/c;associate/v;bride/n;christ/n;church/n;eg/r;of/i;symbolism/n	and/c;associate/v;be/v;bride/n;can/v;christ/n;church/n;eg/r;if/c;of/i;really/r;symbolism/n;with/i	church/n	church/n	be/v;can/v;church/n	and/c;church/n;eg/r	and/c;church/n;eg/r	and/c;be/v;can/v;church/n;eg/r;really/r	associate/v;bride/n;christ/n;church/n;symbolism/n	associate/v;bride/n;christ/n;church/n;symbolism/n	associate/v;be/v;bride/n;can/v;christ/n;church/n;symbolism/n	and/c;associate/v;bride/n;christ/n;church/n;eg/r;of/i;symbolism/n	and/c;associate/v;bride/n;christ/n;church/n;eg/r;of/i;symbolism/n	and/c;associate/v;be/v;bride/n;can/v;christ/n;church/n;eg/r;if/c;of/i;really/r;symbolism/n;with/i	church/n	church/n	be/v;can/v;church/n	and/c;church/n;eg/r	and/c;church/n;eg/r	and/c;be/v;can/v;church/n;eg/r;really/r	L10,L9,L7,L4,R5,R7,R9	L10,L9,L7,L4,R5,R7,R9	L10,L9,L7,L4,R0,R3,R5,R7,R9,R10	L10,L9,L7,L6,L4,L2,R5,R6,R7,R9	L10,L9,L7,L6,L4,L2,R5,R6,R7,R9	L10,L9,L8,L7,L6,L4,L2,R0,R2,R3,R5,R6,R7,R8,R9,R10	L4	L4	L4,R0,R3,R10	L6,L4,L2	L6,L4,L2	L6,L4,L2,R0,R2,R3,R10	L10,L9,L7,L4,R5,R7,R9	L10,L9,L7,L4,R5,R7,R9	L10,L9,L7,L4,R0,R3,R5,R7,R9,R10	L10,L9,L7,L6,L4,L2,R5,R6,R7,R9	L10,L9,L7,L6,L4,L2,R5,R6,R7,R9	L10,L9,L8,L7,L6,L4,L2,R0,R2,R3,R5,R6,R7,R8,R9,R10	L4	L4	L4,R0,R3,R10	L6,L4,L2	L6,L4,L2	L6,L4,L2,R0,R2,R3,R10
church/n/wlp_gb_b01/18493149	apostasy/n;bunkum/n;modern/j	apostasy/n;bunkum/n;modern/j	apostasy/n;be/v;bunkum/n;fight/n;give/v;list/n;modern/j;shopping/n	against/i;apostasy/n;bunkum/n;modern/j;today/r	against/i;apostasy/n;bunkum/n;modern/j;today/r	against/i;apostasy/n;be/v;bunkum/n;fight/n;give/v;i/p;list/n;modern/j;now/r;shopping/n;that/c;today/r	bunkum/n	bunkum/n	be/v;bunkum/n;give/v	bunkum/n;today/r	bunkum/n;today/r	be/v;bunkum/n;give/v;i/p;now/r;that/c;today/r	apostasy/n;bunkum/n	apostasy/n;bunkum/n	apostasy/n;be/v;bunkum/n;fight/n	against/i;apostasy/n;bunkum/n;today/r	against/i;apostasy/n;bunkum/n;today/r	against/i;apostasy/n;be/v;bunkum/n;fight/n;that/c;today/r	bunkum/n	bunkum/n	be/v;bunkum/n	bunkum/n;today/r	bunkum/n;today/r	be/v;bunkum/n;that/c;today/r	L6,L3	L6,L3	L9,L6,L3,L1,R5,R8,R9	L8,L6,L3,R0	L8,L6,L3,R0	L9,L8,L6,L3,L2,L1,R0,R3,R4,R5,R8,R9	L3	L3	L3,L1,R5	L3,R0	L3,R0	L3,L2,L1,R0,R3,R4,R5	L6,L3	L6,L3	L9,L6,L3,L1	L8,L6,L3,R0	L8,L6,L3,R0	L9,L8,L6,L3,L2,L1,R0	L3	L3	L3,L1	L3,R0	L3,R0	L3,L2,L1,R0
church/n/wlp_gb_b01/1899773	congregational/j;united/j	congregational/j;united/j	be/v;board/n;congregational/j;far/j;know/v;others/n;united/j	and/c;as/i;congregational/j;united/j	and/c;as/i;congregational/j;united/j	about/r;and/c;as/i;be/v;board/n;congregational/j;far/j;know/v;others/n;than/c;there/e;united/j;we/p	united/j	united/j	board/n;far/j;know/v;others/n;united/j	as/i;united/j	as/i;united/j	as/i;board/n;far/j;know/v;others/n;than/c;united/j	congregational/j;united/j	congregational/j;united/j	be/v;board/n;congregational/j;far/j;know/v;others/n;united/j	and/c;as/i;congregational/j;united/j	and/c;as/i;congregational/j;united/j	about/r;and/c;as/i;be/v;board/n;congregational/j;far/j;know/v;others/n;than/c;there/e;united/j;we/p	united/j	united/j	board/n;far/j;know/v;others/n;united/j	as/i;united/j	as/i;united/j	as/i;board/n;far/j;know/v;others/n;than/c;united/j	L9,L3	L9,L3	L9,L6,L5,L3,L2,R0,R1,R4,R7	L10,L9,L8,L4,L3,R5	L10,L9,L8,L4,L3,R5	L10,L9,L8,L7,L6,L5,L4,L3,L2,R0,R1,R2,R4,R5,R6,R7,R8	L3	L3	L5,L3,L2,R1,R4	L4,L3	L4,L3	L5,L4,L3,L2,R1,R2,R4	L9,L3	L9,L3	L9,L6,L5,L3,L2,R0,R1,R4,R7	L10,L9,L8,L4,L3,R5	L10,L9,L8,L4,L3,R5	L10,L9,L8,L7,L6,L5,L4,L3,L2,R0,R1,R2,R4,R5,R6,R7,R8	L3	L3	L5,L3,L2,R1,R4	L4,L3	L4,L3	L5,L4,L3,L2,R1,R2,R4
church/n/wlp_gb_b01/20152510	become/v;dominant/j;minority/n	become/v;dominant/j;minority/n	attraction/n;be/v;become/v;control/n;dominant/j;driver/n;happen/v;minority/n;switch/n	and/c;become/v;dominant/j;minority/n;of/i	and/c;become/v;dominant/j;minority/n;of/i	and/c;attraction/n;be/v;become/v;control/n;dominant/j;driver/n;happen/v;it/p;minority/n;not/x;of/i;precisely/r;switch/n;when/c	become/v	become/v	attraction/n;become/v;control/n;driver/n;happen/v	and/c;become/v;of/i	and/c;become/v;of/i	and/c;attraction/n;become/v;control/n;driver/n;happen/v;not/x;of/i	become/v;dominant/j;minority/n	become/v;dominant/j;minority/n	attraction/n;be/v;become/v;control/n;dominant/j;driver/n;happen/v;minority/n;switch/n	and/c;become/v;dominant/j;minority/n;of/i	and/c;become/v;dominant/j;minority/n;of/i	and/c;attraction/n;be/v;become/v;control/n;dominant/j;driver/n;happen/v;it/p;minority/n;not/x;of/i;precisely/r;switch/n;when/c	become/v	become/v	attraction/n;become/v;control/n;driver/n;happen/v	and/c;become/v;of/i	and/c;become/v;of/i	and/c;attraction/n;become/v;control/n;driver/n;happen/v;not/x;of/i	L10,L9,R0	L10,L9,R0	L10,L9,L5,L2,R0,R1,R4,R8	L10,L9,L1,R0,R6	L10,L9,L1,R0,R6	L10,L9,L7,L5,L2,L1,R0,R1,R3,R4,R6,R7,R8,R9	R0	R0	L5,L2,R0,R1,R4	L1,R0,R6	L1,R0,R6	L5,L2,L1,R0,R1,R3,R4,R6	L10,L9,R0	L10,L9,R0	L10,L9,L5,L2,R0,R1,R4,R8	L10,L9,L1,R0,R6	L10,L9,L1,R0,R6	L10,L9,L7,L5,L2,L1,R0,R1,R3,R4,R6,R7,R8,R9	R0	R0	L5,L2,R0,R1,R4	L1,R0,R6	L1,R0,R6	L5,L2,L1,R0,R1,R3,R4,R6
church/n/wlp_gb_b01/4633327	ann/n;bermondsey/n;christen/v;magdalene/n;mary/n;st/n;walk/n	ann/n;bermondsey/n;christen/v;magdalene/n;mary/n;st/n;walk/n	ann/n;be/v;bermondsey/n;christen/v;daughter/n;february/n;magdalene/n;mary/n;st/n;walk/n;year/n	ann/n;at/i;bermondsey/n;christen/v;in/i;magdalene/n;mary/n;of/i;st/n;walk/n	ann/n;at/i;bermondsey/n;christen/v;in/i;magdalene/n;mary/n;of/i;st/n;walk/n	ann/n;at/i;be/v;bermondsey/n;christen/v;daughter/n;february/n;in/i;magdalene/n;mary/n;of/i;st/n;walk/n;year/n	ann/n;christen/v;magdalene/n;mary/n;st/n	ann/n;christen/v;magdalene/n;mary/n;st/n	ann/n;be/v;christen/v;magdalene/n;mary/n;st/n	ann/n;at/i;christen/v;in/i;magdalene/n;mary/n;st/n	ann/n;at/i;christen/v;in/i;magdalene/n;mary/n;st/n	ann/n;at/i;be/v;christen/v;in/i;magdalene/n;mary/n;st/n	ann/n;bermondsey/n;christen/v;magdalene/n;mary/n;st/n;walk/n	ann/n;bermondsey/n;christen/v;magdalene/n;mary/n;st/n;walk/n	ann/n;be/v;bermondsey/n;christen/v;daughter/n;february/n;magdalene/n;mary/n;st/n;walk/n;year/n	ann/n;at/i;bermondsey/n;christen/v;in/i;magdalene/n;mary/n;of/i;st/n;walk/n	ann/n;at/i;bermondsey/n;christen/v;in/i;magdalene/n;mary/n;of/i;st/n;walk/n	ann/n;at/i;be/v;bermondsey/n;christen/v;daughter/n;february/n;in/i;magdalene/n;mary/n;of/i;st/n;walk/n;year/n	ann/n;christen/v;magdalene/n;mary/n;st/n	ann/n;christen/v;magdalene/n;mary/n;st/n	ann/n;be/v;christen/v;magdalene/n;mary/n;st/n	ann/n;at/i;christen/v;in/i;magdalene/n;mary/n;st/n	ann/n;at/i;christen/v;in/i;magdalene/n;mary/n;st/n	ann/n;at/i;be/v;christen/v;in/i;magdalene/n;mary/n;st/n	L9,L4,L2,R1,R2,R3	L9,L4,L2,R1,R2,R3	L9,L5,L4,L3,L2,R1,R2,R3,R5,R8	L9,L4,L2,L1,R0,R1,R2,R3,R4,R6	L9,L4,L2,L1,R0,R1,R2,R3,R4,R6	L9,L5,L4,L3,L2,L1,R0,R1,R2,R3,R4,R5,R6,R8	L4,L2,R1,R2,R3	L4,L2,R1,R2,R3	L4,L3,L2,R1,R2,R3	L4,L2,L1,R1,R2,R3,R4	L4,L2,L1,R1,R2,R3,R4	L4,L3,L2,L1,R1,R2,R3,R4	L9,L4,L2,R1,R2,R3	L9,L4,L2,R1,R2,R3	L9,L5,L4,L3,L2,R1,R2,R3,R5,R8	L9,L4,L2,L1,R0,R1,R2,R3,R4,R6	L9,L4,L2,L1,R0,R1,R2,R3,R4,R6	L9,L5,L4,L3,L2,L1,R0,R1,R2,R3,R4,R5,R6,R8	L4,L2,R1,R2,R3	L4,L2,R1,R2,R3	L4,L3,L2,R1,R2,R3	L4,L2,L1,R1,R2,R3,R4	L4,L2,L1,R1,R2,R3,R4	L4,L3,L2,L1,R1,R2,R3,R4
church/n/wlp_gb_b01/6155660	church/n;doctrine/n;false/j;rebuke/n	church/n;doctrine/n;false/j;rebuke/n	church/n;doctrine/n;false/j;have/v;interpretation/n;private/j;problem/n;read/v;rebuke/n	and/c;church/n;doctrine/n;false/j;rebuke/n;to/i	and/c;church/n;doctrine/n;false/j;rebuke/n;to/i	also/r;and/c;church/n;doctrine/n;false/j;for/i;have/v;interpretation/n;one/p;private/j;problem/n;read/v;rebuke/n;to/i;when/c	doctrine/n;false/j;rebuke/n	doctrine/n;false/j;rebuke/n	doctrine/n;false/j;read/v;rebuke/n	and/c;doctrine/n;false/j;rebuke/n;to/i	and/c;doctrine/n;false/j;rebuke/n;to/i	and/c;doctrine/n;false/j;for/i;read/v;rebuke/n;to/i	church/n;doctrine/n;false/j;rebuke/n	church/n;doctrine/n;false/j;rebuke/n	church/n;doctrine/n;false/j;have/v;interpretation/n;private/j;problem/n;read/v;rebuke/n	and/c;church/n;doctrine/n;false/j;rebuke/n;to/i	and/c;church/n;doctrine/n;false/j;rebuke/n;to/i	also/r;and/c;church/n;doctrine/n;false/j;for/i;have/v;interpretation/n;one/p;private/j;problem/n;read/v;rebuke/n;to/i;when/c	doctrine/n;false/j;rebuke/n	doctrine/n;false/j;rebuke/n	doctrine/n;false/j;read/v;rebuke/n	and/c;doctrine/n;false/j;rebuke/n;to/i	and/c;doctrine/n;false/j;rebuke/n;to/i	and/c;doctrine/n;false/j;for/i;read/v;rebuke/n;to/i	L2,R2,R3,R9	L2,R2,R3,R9	L4,L2,R2,R3,R7,R9,R10	L2,L1,R2,R3,R5,R9	L2,L1,R2,R3,R5,R9	L8,L6,L5,L4,L2,L1,R0,R2,R3,R5,R7,R9,R10	L2,R2,R3	L2,R2,R3	L4,L2,R2,R3	L2,L1,R2,R3,R5	L2,L1,R2,R3,R5	L4,L2,L1,R0,R2,R3,R5	L2,R2,R3,R9	L2,R2,R3,R9	L4,L2,R2,R3,R7,R9,R10	L2,L1,R2,R3,R5,R9	L2,L1,R2,R3,R5,R9	L8,L6,L5,L4,L2,L1,R0,R2,R3,R5,R7,R9,R10	L2,R2,R3	L2,R2,R3	L4,L2,R2,R3	L2,L1,R2,R3,R5	L2,L1,R2,R3,R5	L4,L2,L1,R0,R2,R3,R5
church/n/wlp_gb_b01/8487380	catholic/j;england/n;faith/n;wales/n	catholic/j;england/n;faith/n;wales/n	bad/j;be/v;catholic/j;detrimental/j;dismissal/n;england/n;faith/n;situation/n;wales/n	and/c;catholic/j;england/n;faith/n;in/i;to/i;wales/n	and/c;catholic/j;england/n;faith/n;in/i;to/i;wales/n	and/c;bad/j;be/v;catholic/j;detrimental/j;dismissal/n;england/n;faith/n;far/r;in/i;situation/n;to/i;very/r;wales/n	catholic/j;england/n;wales/n	catholic/j;england/n;wales/n	catholic/j;detrimental/j;england/n;wales/n	and/c;catholic/j;england/n;in/i;to/i;wales/n	and/c;catholic/j;england/n;in/i;to/i;wales/n	and/c;catholic/j;detrimental/j;england/n;in/i;to/i;very/r;wales/n	catholic/j;england/n;faith/n;wales/n	catholic/j;england/n;faith/n;wales/n	be/v;catholic/j;detrimental/j;dismissal/n;england/n;faith/n;wales/n	and/c;catholic/j;england/n;faith/n;in/i;to/i;wales/n	and/c;catholic/j;england/n;faith/n;in/i;to/i;wales/n	and/c;be/v;catholic/j;detrimental/j;dismissal/n;england/n;faith/n;in/i;to/i;very/r;wales/n	catholic/j;england/n;wales/n	catholic/j;england/n;wales/n	catholic/j;detrimental/j;england/n;wales/n	and/c;catholic/j;england/n;in/i;to/i;wales/n	and/c;catholic/j;england/n;in/i;to/i;wales/n	and/c;catholic/j;detrimental/j;england/n;in/i;to/i;very/r;wales/n	L9,L0,R1,R3	L9,L0,R1,R3	L9,L6,L5,L3,L0,R1,R3,R9,R10	L9,L2,L0,R0,R1,R2,R3	L9,L2,L0,R0,R1,R2,R3	L9,L6,L5,L4,L3,L2,L0,R0,R1,R2,R3,R9,R10	L0,R1,R3	L0,R1,R3	L3,L0,R1,R3	L2,L0,R0,R1,R2,R3	L2,L0,R0,R1,R2,R3	L4,L3,L2,L0,R0,R1,R2,R3	L9,L0,R1,R3	L9,L0,R1,R3	L9,L6,L5,L3,L0,R1,R3	L9,L2,L0,R0,R1,R2,R3	L9,L2,L0,R0,R1,R2,R3	L9,L6,L5,L4,L3,L2,L0,R0,R1,R2,R3	L0,R1,R3	L0,R1,R3	L3,L0,R1,R3	L2,L0,R0,R1,R2,R3	L2,L0,R0,R1,R2,R3	L4,L3,L2,L0,R0,R1,R2,R3
church/n/wlp_gb_b02/2828647	abuse/n;catholic/j;kevin/n;ordain/v;sexual/j;witness/v	abuse/n;catholic/j;kevin/n;ordain/v;sexual/j;witness/v	abuse/n;be/v;catholic/j;child/n;have/v;hide/v;kevin/n;lee/n;ordain/v;sexual/j;system/n;witness/v	abuse/n;as/i;catholic/j;kevin/n;of/i;ordain/v;sexual/j;within/i;witness/v	abuse/n;as/i;catholic/j;kevin/n;of/i;ordain/v;sexual/j;within/i;witness/v	abuse/n;as/i;be/v;catholic/j;child/n;have/v;hide/v;kevin/n;lee/n;of/i;ordain/v;sexual/j;system/n;within/i;witness/v	abuse/n;catholic/j;sexual/j	abuse/n;catholic/j;sexual/j	abuse/n;catholic/j;child/n;hide/v;sexual/j	abuse/n;catholic/j;of/i;sexual/j;within/i	abuse/n;catholic/j;of/i;sexual/j;within/i	abuse/n;catholic/j;child/n;hide/v;of/i;sexual/j;within/i	abuse/n;catholic/j;sexual/j;witness/v	abuse/n;catholic/j;sexual/j;witness/v	abuse/n;catholic/j;child/n;have/v;hide/v;sexual/j;system/n;witness/v	abuse/n;catholic/j;of/i;sexual/j;within/i;witness/v	abuse/n;catholic/j;of/i;sexual/j;within/i;witness/v	abuse/n;catholic/j;child/n;have/v;hide/v;of/i;sexual/j;system/n;within/i;witness/v	abuse/n;catholic/j;sexual/j	abuse/n;catholic/j;sexual/j	abuse/n;catholic/j;child/n;hide/v;sexual/j	abuse/n;catholic/j;of/i;sexual/j;within/i	abuse/n;catholic/j;of/i;sexual/j;within/i	abuse/n;catholic/j;child/n;hide/v;of/i;sexual/j;within/i	L9,L0,R3,R4,R7,R10	L9,L0,R3,R4,R7,R10	L10,L9,L6,L0,R1,R2,R3,R4,R7,R8,R9,R10	L9,L5,L2,L0,R3,R4,R7,R10	L9,L5,L2,L0,R3,R4,R7,R10	L10,L9,L6,L5,L2,L0,R1,R2,R3,R4,R7,R8,R9,R10	L0,R3,R4	L0,R3,R4	L0,R1,R2,R3,R4	L5,L2,L0,R3,R4	L5,L2,L0,R3,R4	L5,L2,L0,R1,R2,R3,R4	L9,L0,R3,R4	L9,L0,R3,R4	L10,L9,L6,L0,R1,R2,R3,R4	L9,L5,L2,L0,R3,R4	L9,L5,L2,L0,R3,R4	L10,L9,L6,L5,L2,L0,R1,R2,R3,R4	L0,R3,R4	L0,R3,R4	L0,R1,R2,R3,R4	L5,L2,L0,R3,R4	L5,L2,L0,R3,R4	L5,L2,L0,R1,R2,R3,R4
church/n/wlp_gb_b02/2972372	argue/v;building/n;entrust/v;jesus/n	argue/v;building/n;entrust/v;jesus/n	argue/v;bad/j;building/n;day/n;entrust/v;jesus/n;might/v	and/c;argue/v;building/n;entrust/v;jesus/n;of/i	and/c;argue/v;building/n;entrust/v;jesus/n;of/i	and/c;argue/v;bad/j;building/n;day/n;entrust/v;him/p;jesus/n;might/v;of/i;on/i;promptly/r;that/c;who/p;with/i;you/p	building/n	building/n	bad/j;building/n;day/n	and/c;building/n;of/i	and/c;building/n;of/i	and/c;bad/j;building/n;day/n;of/i;on/i;with/i	argue/v;building/n;entrust/v;jesus/n	argue/v;building/n;entrust/v;jesus/n	argue/v;bad/j;building/n;day/n;entrust/v;jesus/n;might/v	and/c;argue/v;building/n;entrust/v;jesus/n;of/i	and/c;argue/v;building/n;entrust/v;jesus/n;of/i	and/c;argue/v;bad/j;building/n;day/n;entrust/v;him/p;jesus/n;might/v;of/i;on/i;promptly/r;that/c;who/p;with/i;you/p	building/n	building/n	bad/j;building/n;day/n	and/c;building/n;of/i	and/c;building/n;of/i	and/c;bad/j;building/n;day/n;of/i;on/i;with/i	L10,L6,L2,R9	L10,L6,L2,R9	L10,L6,L2,R4,R5,R8,R9	L10,L6,L2,L1,R1,R9	L10,L6,L2,L1,R1,R9	L10,L8,L7,L6,L5,L4,L2,L1,R1,R2,R4,R5,R7,R8,R9,R10	L2	L2	L2,R4,R5	L2,L1,R1	L2,L1,R1	L4,L2,L1,R1,R2,R4,R5	L10,L6,L2,R9	L10,L6,L2,R9	L10,L6,L2,R4,R5,R8,R9	L10,L6,L2,L1,R1,R9	L10,L6,L2,L1,R1,R9	L10,L8,L7,L6,L5,L4,L2,L1,R1,R2,R4,R5,R7,R8,R9,R10	L2	L2	L2,R4,R5	L2,L1,R1	L2,L1,R1	L4,L2,L1,R1,R2,R4,R5
